sku,product_name,category,manufacturer,base_price,mrp,batch_number,manufacturing_date,expiry_date,stock_quantity,daily_demand,status
JUICE-GUAVA-001,B-Natural Pink Guava Juice 1L,Juices,Dabur India,105.0,115.0,BGUA-1321,2026-04-22,2026-11-21 18:37:21,195,3,SAFE
CANNED-MUSHROOM-004,Urban Platter Button Mushrooms 400g,Canned Foods,Del Monte India,110.0,120.0,BMUS-1464,2025-11-11,2026-08-28 20:48:01,315,5,CRITICAL
SAUCE-MAYO-003,Veeba Eggless Mayonnaise 250g,Sauces,Hindustan Unilever,75.0,85.0,BMAY-1153,2026-02-25,2027-02-10,84,4,SAFE
JUICE-APPLE-004,Real Fruit Power Himalayan Apple Juice 1L,Juices,Dabur India,115.0,125.0,BAPP-1390,2026-02-24,2026-09-26 21:36:01,184,22,SAFE
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1024,2026-04-11,2026-09-30,286,2,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1376,2026-07-25,2026-12-30,193,5,SAFE
CER-CORN-001,Kellogg's Corn Flakes Original 875g,Cereals,Kellogg India,310.0,330.0,BCOR-1225,2025-10-18,2026-09-22,172,3,SAFE
RTE-BIRYAN-004,Tata Q Spicy Chicken Biryani 330g,Ready-to-eat foods,MTR Foods,185.0,199.0,BBIR-1305,2026-05-02,2026-10-05,43,28,SAFE
PICKLE-MANGO-001,Mother's Recipe Mango Pickle 500g,Pickles,Desai Foods (Mother's Recipe),145.0,160.0,BMAN-1348,2026-03-18,2026-09-04,258,17,SAFE
FROZEN-NUGGETS-004,Sumeru Crispy Chicken Nuggets 500g,Frozen Foods,McCain Foods,240.0,260.0,BNUG-1421,2025-10-20,2026-08-29 23:01:19,53,12,WARNING
FROZEN-PEAS-002,Safal Frozen Green Peas 1kg,Frozen Foods,McCain Foods,130.0,145.0,BPEA-1088,2026-06-19,2026-10-28 23:54:37,133,14,SAFE
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1179,2025-12-16,2026-10-27 03:11:13,201,25,SAFE
DAIRY-PANEER-003,Mother Dairy Fresh Paneer 200g,Dairy,Amul India,90.0,95.0,BPAN-1230,2026-07-16,2026-11-22,309,15,SAFE
FROZEN-PEAS-002,Safal Frozen Green Peas 1kg,Frozen Foods,McCain Foods,130.0,145.0,BPEA-1283,2026-01-15,2026-10-20,219,25,SAFE
CANNED-PINE-002,Golden Crown Pineapple Slices in Syrup 850g,Canned Foods,Del Monte India,180.0,200.0,BPIN-1388,2025-11-07,2026-11-07,130,11,SAFE
FROZEN-MOMOS-003,Prasuma Chicken Veg Momos 24pcs,Frozen Foods,McCain Foods,290.0,320.0,BMOM-1006,2025-12-11,2026-09-21 09:17:17,191,21,SAFE
BEV-COFFEE-004,Nescafe Classic Instant Coffee 100g,Beverages,Dabur India,310.0,325.0,BCOF-1369,2026-01-24,2026-12-30 08:20:26,276,16,SAFE
PICKLE-MANGO-001,Mother's Recipe Mango Pickle 500g,Pickles,Desai Foods (Mother's Recipe),145.0,160.0,BMAN-1473,2025-11-15,2026-08-28 05:31:49,302,18,CRITICAL
PICKLE-MIXED-004,Nilon's Mixed Vegetable Pickle 500g,Pickles,Desai Foods (Mother's Recipe),130.0,140.0,BMIX-1019,2026-03-18,2027-01-18,212,14,SAFE
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1116,2026-08-14,2026-11-20 05:02:23,128,14,SAFE
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1042,2026-01-28,2027-01-02 03:58:13,166,8,SAFE
DAIRY-BUTTER-002,Amul Pasteurised Butter 500g,Dairy,Amul India,270.0,275.0,BBUT-1058,2026-04-10,2026-09-23,204,20,SAFE
BAKERY-BREAD-001,Britannia 100% Whole Wheat Bread 400g,Bakery,Britannia Industries,45.0,50.0,BBRE-1176,2026-03-01,2027-02-08,161,26,SAFE
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1167,2026-07-03,2026-10-29 19:16:13,206,15,SAFE
CER-OATS-002,Quaker Rolled Oats 1kg,Cereals,Kellogg India,180.0,195.0,BOAT-1148,2026-03-02,2027-02-03 00:37:44,337,21,SAFE
COND-TABASCO-001,Tabasco Original Red Pepper Sauce 60ml,Condiments,Wingreens Farms,220.0,240.0,BTAB-1123,2026-06-04,2026-09-25,298,11,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1391,2026-05-07,2027-02-10 04:21:14,112,3,SAFE
SNACK-KURKURE-002,Kurkure Masala Munch 85g,Snacks,PepsiCo India,20.0,20.0,BKUR-1226,2026-07-16,2026-11-11 01:27:31,169,8,SAFE
COND-TABASCO-001,Tabasco Original Red Pepper Sauce 60ml,Condiments,Wingreens Farms,220.0,240.0,BTAB-1486,2025-12-31,2026-08-27 16:27:26,163,20,DONATION
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1205,2026-01-24,2026-12-31,242,4,SAFE
BEV-DRINK-005,Paper Boat Aamras Juice 250ml,Beverages,Dabur India,35.0,40.0,BDRI-1326,2026-05-09,2026-09-25,188,19,SAFE
BAKERY-BREAD-001,Britannia 100% Whole Wheat Bread 400g,Bakery,Britannia Industries,45.0,50.0,BBRE-1322,2025-11-26,2026-10-22 08:44:39,19,5,SAFE
BEV-DRINK-005,Paper Boat Aamras Juice 250ml,Beverages,Dabur India,35.0,40.0,BDRI-1106,2026-09-30,2027-01-19,234,23,SAFE
INST-UPMA-004,MTR Instant Vegetable Upma Mix 160g,Instant Foods,Nestle India,45.0,50.0,BUPM-1221,2026-02-24,2026-11-15 07:25:13,174,25,SAFE
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1108,2025-12-20,2026-09-21,250,24,SAFE
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1254,2026-04-29,2026-10-06 21:56:14,166,27,SAFE
DISC-OREO-004,Oreo Chocolate Cream Biscuits 120g,Biscuits,Parle Products,35.0,40.0,BORE-1342,2026-01-12,2026-10-23,217,28,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1099,2026-07-31,2026-11-24,194,9,SAFE
COND-SRIRACHA-004,Huy Fong Sriracha Hot Chili Sauce 255g,Condiments,Wingreens Farms,320.0,350.0,BSRI-1013,2026-01-28,2026-10-11,43,9,SAFE
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1248,2026-09-21,2027-01-15,346,12,SAFE
BEV-JUICE-001,Real Fruit Power Mango Juice 1L,Beverages,Dabur India,110.0,120.0,BJUI-1185,2026-10-13,2027-01-18 10:26:44,78,16,SAFE
PKG-RICE-002,Fortune Biryani Special Basmati Rice 1kg,Packaged Foods,Tata Consumer Products,195.0,210.0,BRIC-1028,2026-08-24,2027-02-14 10:32:15,325,15,SAFE
FROZEN-FRIES-001,McCain French Fries Crispy 750g,Frozen Foods,McCain Foods,170.0,185.0,BFRI-1493,2026-04-12,2026-08-27 18:31:31,249,22,DONATION
CANNED-BEANS-003,Heinz Baked Beans in Tomato Sauce 415g,Canned Foods,Del Monte India,140.0,150.0,BBEA-1397,2025-10-31,2026-10-18,253,5,SAFE
PICKLE-CHILLI-005,Bedekar Green Chilli Pickle 300g,Pickles,Desai Foods (Mother's Recipe),85.0,95.0,BCHI-1257,2026-09-16,2027-01-06,136,16,SAFE
DAIRY-MILK-001,Amul Taaza Toned Milk 1L,Dairy,Amul India,54.0,56.0,BMIL-1372,2026-09-05,2027-01-10 16:12:15,191,24,SAFE
DISC-PARLEG-001,Parle-G Gold Biscuits 1kg,Biscuits,Parle Products,120.0,130.0,BPAR-1178,2026-07-22,2026-12-29,336,22,SAFE
PICKLE-MIXED-004,Nilon's Mixed Vegetable Pickle 500g,Pickles,Desai Foods (Mother's Recipe),130.0,140.0,BMIX-1064,2026-08-25,2027-01-17,34,17,SAFE
COND-DIP-003,Wingreens Farms Chipotle Dip 180g,Condiments,Wingreens Farms,175.0,190.0,BDIP-1054,2026-02-08,2026-09-30,190,8,SAFE
DAIRY-YOGURT-004,Epigamia Greek Yogurt Mango 85g,Dairy,Amul India,50.0,55.0,BYOG-1068,2026-02-12,2026-09-23 15:47:01,150,3,SAFE
BEV-JUICE-001,Real Fruit Power Mango Juice 1L,Beverages,Dabur India,110.0,120.0,BJUI-1003,2025-10-28,2026-10-11,302,8,SAFE
DISC-UNIBIC-005,Unibic Chocolate Chip Cookies 150g,Biscuits,Parle Products,65.0,75.0,BUNI-1341,2026-01-28,2027-01-03,193,19,SAFE
DISC-GOODDAY-002,Britannia Good Day Butter Cookies 600g,Biscuits,Parle Products,140.0,150.0,BGOO-1086,2026-05-25,2027-01-11,281,17,SAFE
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1532,2026-03-30,2026-08-26 02:41:43,275,2,EXPIRED
SNACK-NACHOS-004,Doritos Cheese Nachos 60g,Snacks,PepsiCo India,30.0,30.0,BNAC-1525,2026-04-02,2026-08-14,74,16,EXPIRED
BAKERY-PASTRY-004,Monginis Choco Lava Cake 75g,Bakery,Britannia Industries,40.0,45.0,BPAS-1172,2026-02-26,2026-11-19,168,22,SAFE
BAKERY-BREAD-002,Harvest Gold White Bread 400g,Bakery,Britannia Industries,40.0,42.0,BBRE-1314,2025-12-03,2026-10-01,119,12,SAFE
PICKLE-MANGO-001,Mother's Recipe Mango Pickle 500g,Pickles,Desai Foods (Mother's Recipe),145.0,160.0,BMAN-1364,2026-01-07,2026-11-25,325,13,SAFE
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1023,2026-06-04,2027-02-01,274,21,SAFE
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1261,2026-08-13,2027-01-20,41,22,SAFE
BAKERY-BREAD-002,Harvest Gold White Bread 400g,Bakery,Britannia Industries,40.0,42.0,BBRE-1043,2026-08-13,2026-12-12,44,3,SAFE
FROZEN-NUGGETS-004,Sumeru Crispy Chicken Nuggets 500g,Frozen Foods,McCain Foods,240.0,260.0,BNUG-1236,2026-05-22,2026-11-03 10:10:46,89,10,SAFE
SNACK-NUTS-005,Nutraj Salted Roasted Almonds 200g,Snacks,PepsiCo India,280.0,300.0,BNUT-1313,2026-03-29,2027-01-20 20:34:17,52,24,SAFE
COND-SRIRACHA-004,Huy Fong Sriracha Hot Chili Sauce 255g,Condiments,Wingreens Farms,320.0,350.0,BSRI-1061,2026-04-11,2027-02-03,94,9,SAFE
PICKLE-GARLIC-002,Priya Garlic Pickle in Sesame Oil 300g,Pickles,Desai Foods (Mother's Recipe),110.0,125.0,BGAR-1389,2026-09-24,2027-01-21,228,19,SAFE
PICKLE-CHILLI-005,Bedekar Green Chilli Pickle 300g,Pickles,Desai Foods (Mother's Recipe),85.0,95.0,BCHI-1502,2025-12-24,2026-08-27 15:52:28,134,15,DONATION
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1495,2025-09-18,2026-08-27 19:44:23,152,12,DONATION
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1037,2026-04-12,2026-10-16,86,15,SAFE
BEV-JUICE-002,Tropicana 100% Orange Juice 1L,Beverages,Dabur India,130.0,140.0,BJUI-1410,2026-05-04,2026-12-03 09:18:53,284,10,SAFE
BAKERY-BUN-003,English Oven Burger Buns 4pcs,Bakery,Britannia Industries,35.0,38.0,BBUN-1027,2026-02-22,2027-02-19,80,23,SAFE
SPICE-CHILLI-002,MDH Deggi Mirch Powder 100g,Spices,MDH Spices,95.0,100.0,BCHI-1145,2026-11-02,2027-01-31,292,16,SAFE
RTE-DAL-002,Kitchens of India Dal Makhani 285g,Ready-to-eat foods,MTR Foods,150.0,165.0,BDAL-1335,2026-09-21,2027-02-14 16:10:01,240,12,SAFE
RTE-DAL-002,Kitchens of India Dal Makhani 285g,Ready-to-eat foods,MTR Foods,150.0,165.0,BDAL-1469,2026-02-24,2026-08-28 12:41:47,264,22,CRITICAL
COND-DIP-003,Wingreens Farms Chipotle Dip 180g,Condiments,Wingreens Farms,175.0,190.0,BDIP-1157,2026-04-05,2027-01-13,179,8,SAFE
RTE-DAL-002,Kitchens of India Dal Makhani 285g,Ready-to-eat foods,MTR Foods,150.0,165.0,BDAL-1431,2025-11-21,2026-09-01 02:26:13,152,11,WARNING
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1324,2026-05-06,2026-11-11,162,4,SAFE
PICKLE-GARLIC-002,Priya Garlic Pickle in Sesame Oil 300g,Pickles,Desai Foods (Mother's Recipe),110.0,125.0,BGAR-1267,2026-02-03,2026-09-27,256,24,SAFE
INST-PASTA-003,Maggi Pazzta Cheese Macaroni 70g,Instant Foods,Nestle India,30.0,35.0,BPAS-1293,2026-07-13,2026-11-19,286,13,SAFE
SNACK-BHUJIA-003,Haldiram's Nagpur Alooo Bhujia 400g,Snacks,PepsiCo India,120.0,130.0,BBHU-1009,2026-09-07,2027-01-15,66,14,SAFE
SPICE-CHILLI-002,MDH Deggi Mirch Powder 100g,Spices,MDH Spices,95.0,100.0,BCHI-1522,2025-08-15,2026-08-14,93,10,EXPIRED
PICKLE-GARLIC-002,Priya Garlic Pickle in Sesame Oil 300g,Pickles,Desai Foods (Mother's Recipe),110.0,125.0,BGAR-1198,2026-10-19,2027-01-18 01:59:13,89,6,SAFE
COND-SRIRACHA-004,Huy Fong Sriracha Hot Chili Sauce 255g,Condiments,Wingreens Farms,320.0,350.0,BSRI-1218,2026-01-25,2026-09-08 06:04:08,154,24,SAFE
DAIRY-PANEER-003,Mother Dairy Fresh Paneer 200g,Dairy,Amul India,90.0,95.0,BPAN-1101,2026-05-22,2026-12-20 03:39:30,73,20,SAFE
CER-OATS-002,Quaker Rolled Oats 1kg,Cereals,Kellogg India,180.0,195.0,BOAT-1147,2026-07-03,2027-01-13 03:04:34,82,11,SAFE
JUICE-APPLE-004,Real Fruit Power Himalayan Apple Juice 1L,Juices,Dabur India,115.0,125.0,BAPP-1247,2026-06-15,2026-12-03,159,14,SAFE
BEV-SODA-006,Coca-Cola Original Taste 1.25L,Beverages,Dabur India,60.0,65.0,BSOD-1180,2026-01-21,2026-09-19,227,7,SAFE
BEV-JUICE-001,Real Fruit Power Mango Juice 1L,Beverages,Dabur India,110.0,120.0,BJUI-1243,2026-01-04,2026-12-19,312,19,SAFE
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1286,2026-03-19,2026-09-17,179,5,SAFE
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1273,2025-12-07,2026-09-03 23:36:27,228,7,SAFE
BEV-DRINK-005,Paper Boat Aamras Juice 250ml,Beverages,Dabur India,35.0,40.0,BDRI-1046,2026-07-12,2027-02-13,35,21,SAFE
SNACK-NACHOS-004,Doritos Cheese Nachos 60g,Snacks,PepsiCo India,30.0,30.0,BNAC-1033,2025-11-17,2026-10-21 20:47:46,82,25,SAFE
BAKERY-BUN-003,English Oven Burger Buns 4pcs,Bakery,Britannia Industries,35.0,38.0,BBUN-1277,2026-06-12,2026-11-02,185,6,SAFE
FROZEN-NUGGETS-004,Sumeru Crispy Chicken Nuggets 500g,Frozen Foods,McCain Foods,240.0,260.0,BNUG-1343,2026-09-04,2027-02-15 18:44:32,162,24,SAFE
SNACK-KURKURE-002,Kurkure Masala Munch 85g,Snacks,PepsiCo India,20.0,20.0,BKUR-1188,2026-01-31,2026-12-24,169,22,SAFE
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1079,2026-06-08,2026-09-29 04:38:04,258,21,SAFE
INST-PASTA-003,Maggi Pazzta Cheese Macaroni 70g,Instant Foods,Nestle India,30.0,35.0,BPAS-1194,2026-03-08,2026-12-06 20:38:56,156,8,SAFE
PKG-DAL-001,Tata Sampann Unpolished Arhar Dal 1kg,Packaged Foods,Tata Consumer Products,165.0,175.0,BDAL-1260,2026-04-04,2027-01-14,229,7,SAFE
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1115,2026-04-28,2026-11-27,345,24,SAFE
PKG-DAL-001,Tata Sampann Unpolished Arhar Dal 1kg,Packaged Foods,Tata Consumer Products,165.0,175.0,BDAL-1441,2026-02-18,2026-09-03,164,28,WARNING
DISC-GOODDAY-002,Britannia Good Day Butter Cookies 600g,Biscuits,Parle Products,140.0,150.0,BGOO-1296,2026-06-18,2027-01-03,161,24,SAFE
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1451,2026-04-17,2026-08-28 09:20:31,74,28,CRITICAL
FROZEN-PEAS-002,Safal Frozen Green Peas 1kg,Frozen Foods,McCain Foods,130.0,145.0,BPEA-1250,2026-04-08,2026-09-17,173,22,SAFE
CER-OATS-002,Quaker Rolled Oats 1kg,Cereals,Kellogg India,180.0,195.0,BOAT-1224,2026-04-28,2026-11-14,73,13,SAFE
PKG-DAL-001,Tata Sampann Unpolished Arhar Dal 1kg,Packaged Foods,Tata Consumer Products,165.0,175.0,BDAL-1458,2025-11-04,2026-08-28 06:55:33,337,7,CRITICAL
CER-MUESLI-003,Baggry's Crunchy Muesli Fruit & Nut 400g,Cereals,Kellogg India,270.0,290.0,BMUE-1482,2026-04-16,2026-08-28 08:06:09,239,5,CRITICAL
CER-CHOCOS-004,Kellogg's Chocos Crunchy Bites 375g,Cereals,Kellogg India,195.0,210.0,BCHO-1280,2026-03-01,2026-09-10 02:35:53,117,3,SAFE
DAIRY-BUTTER-002,Amul Pasteurised Butter 500g,Dairy,Amul India,270.0,275.0,BBUT-1539,2025-12-22,2026-08-18,170,25,EXPIRED
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1173,2026-02-12,2027-01-01,116,14,SAFE
SPICE-CORI-004,Tata Sampann Coriander Powder 200g,Spices,MDH Spices,70.0,75.0,BCOR-1351,2026-08-07,2027-02-03,33,28,SAFE
RTE-DAL-002,Kitchens of India Dal Makhani 285g,Ready-to-eat foods,MTR Foods,150.0,165.0,BDAL-1530,2025-09-12,2026-08-22,199,3,EXPIRED
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1192,2026-04-30,2026-12-19 04:04:20,204,8,SAFE
SAUCE-SCHZ-002,Ching's Secret Schezwan Chutney 250g,Sauces,Hindustan Unilever,80.0,85.0,BSCH-1038,2026-03-18,2026-10-21,53,16,SAFE
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1187,2026-02-01,2026-12-29 09:41:14,302,12,SAFE
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1288,2025-11-19,2026-10-02,36,25,SAFE
DISC-GOODDAY-002,Britannia Good Day Butter Cookies 600g,Biscuits,Parle Products,140.0,150.0,BGOO-1057,2025-11-19,2026-10-01,233,19,SAFE
BEV-JUICE-001,Real Fruit Power Mango Juice 1L,Beverages,Dabur India,110.0,120.0,BJUI-1302,2025-11-26,2026-09-15,260,18,SAFE
SPICE-CORI-004,Tata Sampann Coriander Powder 200g,Spices,MDH Spices,70.0,75.0,BCOR-1445,2025-12-01,2026-09-01,289,21,WARNING
FROZEN-MOMOS-003,Prasuma Chicken Veg Momos 24pcs,Frozen Foods,McCain Foods,290.0,320.0,BMOM-1402,2025-11-12,2026-10-18,343,25,SAFE
BAKERY-BUN-003,English Oven Burger Buns 4pcs,Bakery,Britannia Industries,35.0,38.0,BBUN-1031,2026-04-08,2026-11-01,18,4,SAFE
BEV-JUICE-002,Tropicana 100% Orange Juice 1L,Beverages,Dabur India,130.0,140.0,BJUI-1166,2026-08-25,2027-01-13,168,2,SAFE
DAIRY-YOGURT-004,Epigamia Greek Yogurt Mango 85g,Dairy,Amul India,50.0,55.0,BYOG-1312,2026-04-04,2026-11-28,169,17,SAFE
CANNED-CORN-001,Del Monte Whole Kernel Sweet Corn 400g,Canned Foods,Del Monte India,85.0,95.0,BCOR-1175,2025-11-19,2026-09-07 12:09:53,304,23,SAFE
SAUCE-KETCHUP-001,Kissan Fresh Tomato Ketchup 950g,Sauces,Hindustan Unilever,135.0,150.0,BKET-1457,2025-12-12,2026-08-28 19:05:17,301,15,CRITICAL
SNACK-NACHOS-004,Doritos Cheese Nachos 60g,Snacks,PepsiCo India,30.0,30.0,BNAC-1483,2025-12-02,2026-08-28 06:05:27,327,22,CRITICAL
BEV-DRINK-005,Paper Boat Aamras Juice 250ml,Beverages,Dabur India,35.0,40.0,BDRI-1467,2026-04-01,2026-08-28 07:10:52,108,13,CRITICAL
BEV-COFFEE-004,Nescafe Classic Instant Coffee 100g,Beverages,Dabur India,310.0,325.0,BCOF-1001,2026-01-21,2026-09-08 00:54:36,86,25,SAFE
PICKLE-LIME-003,Tops Spicy Lime Pickle 400g,Pickles,Desai Foods (Mother's Recipe),95.0,105.0,BLIM-1245,2026-04-02,2027-02-16 07:39:48,190,24,SAFE
DAIRY-BUTTER-002,Amul Pasteurised Butter 500g,Dairy,Amul India,270.0,275.0,BBUT-1353,2026-06-03,2026-10-25,186,11,SAFE
DISC-FANTASY-003,Sunfeast Dark Fantasy Choco Fills 300g,Biscuits,Parle Products,160.0,175.0,BFAN-1011,2026-08-30,2027-01-03,102,19,SAFE
PKG-DAL-001,Tata Sampann Unpolished Arhar Dal 1kg,Packaged Foods,Tata Consumer Products,165.0,175.0,BDAL-1317,2025-11-08,2026-09-24 21:34:53,64,3,SAFE
INST-POHA-005,Saffola FITTIFY Instant Gourmet Poha 80g,Instant Foods,Nestle India,40.0,45.0,BPOH-1325,2026-04-10,2026-11-29,334,23,SAFE
BAKERY-BREAD-002,Harvest Gold White Bread 400g,Bakery,Britannia Industries,40.0,42.0,BBRE-1370,2025-12-04,2026-11-21,303,3,SAFE
CER-MUESLI-003,Baggry's Crunchy Muesli Fruit & Nut 400g,Cereals,Kellogg India,270.0,290.0,BMUE-1444,2025-10-03,2026-09-03,288,18,WARNING
PKG-DAL-001,Tata Sampann Unpolished Arhar Dal 1kg,Packaged Foods,Tata Consumer Products,165.0,175.0,BDAL-1020,2026-08-31,2026-12-04,73,23,SAFE
SNACK-NUTS-005,Nutraj Salted Roasted Almonds 200g,Snacks,PepsiCo India,280.0,300.0,BNUT-1540,2025-09-12,2026-08-20,115,25,EXPIRED
CANNED-PINE-002,Golden Crown Pineapple Slices in Syrup 850g,Canned Foods,Del Monte India,180.0,200.0,BPIN-1433,2026-04-24,2026-08-31,141,25,WARNING
CANNED-MUSHROOM-004,Urban Platter Button Mushrooms 400g,Canned Foods,Del Monte India,110.0,120.0,BMUS-1159,2026-03-31,2027-01-10,348,6,SAFE
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1278,2026-02-13,2026-11-03,104,28,SAFE
INST-SOUP-002,Knorr Thick Tomato Soup 53g,Instant Foods,Nestle India,50.0,55.0,BSOU-1253,2026-01-01,2026-09-06 20:46:20,124,12,SAFE
PKG-DAL-001,Tata Sampann Unpolished Arhar Dal 1kg,Packaged Foods,Tata Consumer Products,165.0,175.0,BDAL-1097,2026-02-24,2026-10-05,123,16,SAFE
SNACK-KURKURE-002,Kurkure Masala Munch 85g,Snacks,PepsiCo India,20.0,20.0,BKUR-1307,2025-11-12,2026-11-02,55,10,SAFE
CANNED-PINE-002,Golden Crown Pineapple Slices in Syrup 850g,Canned Foods,Del Monte India,180.0,200.0,BPIN-1073,2026-02-04,2026-11-30,166,19,SAFE
INST-MAGGI-001,Nestle Maggi 2-Minute Masala Noodles 560g,Instant Foods,Nestle India,110.0,120.0,BMAG-1289,2026-02-10,2026-12-19 00:44:57,44,4,SAFE
BEV-SODA-006,Coca-Cola Original Taste 1.25L,Beverages,Dabur India,60.0,65.0,BSOD-1506,2026-02-01,2026-08-27 18:00:14,211,4,DONATION
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1181,2025-12-23,2026-09-26,154,28,SAFE
CANNED-MUSHROOM-004,Urban Platter Button Mushrooms 400g,Canned Foods,Del Monte India,110.0,120.0,BMUS-1015,2025-10-30,2026-10-10,344,16,SAFE
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1303,2026-09-09,2027-01-14 17:08:54,177,22,SAFE
PICKLE-LIME-003,Tops Spicy Lime Pickle 400g,Pickles,Desai Foods (Mother's Recipe),95.0,105.0,BLIM-1511,2025-10-14,2026-08-26,59,5,EXPIRED
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1488,2026-01-08,2026-08-27 20:12:33,350,6,DONATION
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1507,2025-11-22,2026-08-27 16:07:53,168,6,DONATION
BEV-SODA-006,Coca-Cola Original Taste 1.25L,Beverages,Dabur India,60.0,65.0,BSOD-1500,2025-12-26,2026-08-27 20:01:34,96,10,DONATION
RTE-RAJMA-003,Haldiram's Minute Khana Rajma Chawal 375g,Ready-to-eat foods,MTR Foods,125.0,135.0,BRAJ-1091,2026-11-06,2027-02-14,309,14,SAFE
DISC-OREO-004,Oreo Chocolate Cream Biscuits 120g,Biscuits,Parle Products,35.0,40.0,BORE-1380,2026-05-12,2026-10-06 07:18:34,229,21,SAFE
COND-TABASCO-001,Tabasco Original Red Pepper Sauce 60ml,Condiments,Wingreens Farms,220.0,240.0,BTAB-1379,2026-04-15,2026-11-08 07:06:46,192,6,SAFE
FROZEN-MOMOS-003,Prasuma Chicken Veg Momos 24pcs,Frozen Foods,McCain Foods,290.0,320.0,BMOM-1339,2026-04-26,2026-12-07,113,9,SAFE
SAUCE-SCHZ-002,Ching's Secret Schezwan Chutney 250g,Sauces,Hindustan Unilever,80.0,85.0,BSCH-1295,2026-02-14,2026-11-29,75,10,SAFE
PKG-RICE-002,Fortune Biryani Special Basmati Rice 1kg,Packaged Foods,Tata Consumer Products,195.0,210.0,BRIC-1333,2026-03-27,2026-10-19,313,17,SAFE
SNACK-CHIPS-001,Lay's India's Magic Masala Chips 50g,Snacks,PepsiCo India,20.0,20.0,BCHI-1029,2026-08-03,2027-02-11,219,23,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1274,2026-03-04,2026-12-03 05:34:35,284,19,SAFE
PICKLE-MANGO-001,Mother's Recipe Mango Pickle 500g,Pickles,Desai Foods (Mother's Recipe),145.0,160.0,BMAN-1512,2025-11-11,2026-08-24,234,12,EXPIRED
BEV-SODA-006,Coca-Cola Original Taste 1.25L,Beverages,Dabur India,60.0,65.0,BSOD-1124,2026-01-16,2026-12-23 00:16:28,21,20,SAFE
